Sales_Invoice_No,Sales_Invoice_Date,Month_Year,Customer_Code,Customer_Name,Customer_Location,Item,Prod_Code,Prod_Description,QTY,Unit,QTY_DISC,Net_Qty,RATE,Sale_Value,GST_Rate,GST_Value,Total_Invoice_Value,Receivables,Due_Date,Payment_Received_Date,Payment_Status,Age,Credit_Period,Overdue_Status
UCPLINV/23-24/001,45021,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Atta,ATTB100,ANNP WH-FF 5KG LP RL,4230.0,Kg,,4230.0,50.096,211906.08,0.05,10595.304,222501.384,0.0,45051,45051.0,On time,0,30,Fully Paid
UCPLINV/23-24/001,45021,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Atta,ATTB100,ANNP WH-FF 5KG LP RL,13770.0,Kg,,13770.0,50.096,689821.92,0.05,34491.096,724313.016,0.0,45051,45051.0,On time,0,30,Fully Paid
UCPLINV/23-24/002,45021,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Atta,ATTC100,ANNP WH-FF 1KG LP RL,10290.0,Kg,,10290.0,52.88,544135.2,0.05,27206.76,571341.96,0.0,45051,45051.0,On time,0,30,Fully Paid
UCPLINV/23-24/002,45021,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Atta,ATTC100,ANNP WH-FF 1KG LP RL,4020.0,Kg,,4020.0,52.88,212577.6,0.05,10628.88,223206.48,0.0,45051,45051.0,On time,0,30,Fully Paid
UCPLINV/23-24/002,45021,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Atta,ATTC100,ANNP WH-FF 1KG LP RL,3660.0,Kg,,3660.0,52.88,193540.8,0.05,9677.04,203217.84,0.0,45051,45051.0,On time,0,30,Fully Paid
UCPLINV/23-24/002,45021,42023,CUS00003,CFACHK-Linfox Logistics (I) Pvt Ltd,KARNATAKA,Atta,ATTC100,ANNP WH-FF 1KG LP RL,30.0,Kg,,30.0,52.88,1586.4,0.05,79.32,1665.72,0.0,45051,45051.0,On time,0,30,Fully Paid
UCPLINV/23-24/003,45022,42023,CUS00005,K.Ramamohanarao & co,ANDHRA PRADESH (NEW),Atta,ATTC100,ANNP WH-FF 1KG LP RL,18000.0,Kg,,18000.0,52.16,938880.0,0.05,46944.0,985824.0,0.0,45052,45055.0,Late Payment,0,30,Fully Paid
UCPLINV/23-24/004,45022,42023,CUS00005,K.Ramamohanarao & co,ANDHRA PRADESH (NEW),Atta,ATTC100,ANNP WH-FF 1KG LP RL,11550.0,Kg,,11550.0,52.16,602448.0,0.05,30122.4,632570.4,0.0,45052,45055.0,Late Payment,0,30,Fully Paid
UCPLINV/23-24/004,45022,42023,CUS00005,K.Ramamohanarao & co,ANDHRA PRADESH (NEW),Atta,ATTC100,ANNP WH-FF 5KG LP RL,6450.0,Kg,,6450.0,50.808,327711.6,0.05,16385.58,344097.18,0.0,45052,45055.0,Late Payment,0,30,Fully Paid
UCPLINV/23-24/005,45023,42023,CUS00001,Hindustan Unilever Ltd CSA C/o Srinivasa Logistics,TELANGANA,Atta,ATTA100,ANNP WH-FF 10KG,18000.0,Kg,,18000.0,49.805,896490.0,0.05,44824.5,941314.5,0.0,45053,45055.0,Late Payment,0,30,Fully Paid
